Client Name,Parent Client Name,Ticket Number,Complete Date,Survey Rating
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251119.0114,11/19/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250804.0210,8/5/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250929.0103,9/29/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251208.0045,12/8/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251208.0080,12/8/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251217.0047,12/17/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251217.0114,12/17/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251217.0125,12/18/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251217.0137,12/18/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251218.0026,12/18/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251119.0057,11/19/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250915.0178,9/15/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251106.0063,11/6/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251014.0015,10/14/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251208.0114,12/8/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251020.0174,10/21/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251007.0058,10/7/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250930.0144,9/30/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250930.0145,9/30/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250930.0155,9/30/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251007.0072,10/7/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251007.0112,10/7/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251119.0552,11/20/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250916.0048,9/16/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250916.0049,9/16/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250828.0264,8/28/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250828.0265,8/28/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250828.0266,8/28/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250926.0123,10/3/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250807.0097,8/7/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251209.0098,12/9/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251209.0102,12/9/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251209.0110,12/9/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251203.0201,12/4/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251121.0027,11/21/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251121.0031,11/21/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251121.0033,11/21/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251219.0020,12/19/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250910.0244,9/11/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250826.0359,8/26/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251114.0057,11/14/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251114.0068,11/14/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251114.0111,11/14/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251114.0112,11/14/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251103.0881,11/3/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251103.0884,11/3/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250930.0205,10/1/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250930.0206,10/1/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251209.0150,12/10/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251209.0155,12/9/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251114.0127,11/14/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251114.0128,11/14/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251114.0136,11/14/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250808.0020,8/8/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251016.0052,10/16/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250812.0094,8/12/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251113.0062,11/13/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250804.0182,8/4/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250812.0099,8/12/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250812.0112,8/12/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250812.0128,8/12/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250812.0130,8/12/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251113.0105,11/13/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251030.0167,10/31/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251030.0182,11/1/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251113.0179,11/14/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251113.0183,11/13/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251114.0007,11/14/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251001.0166,10/1/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250812.0143,8/13/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250812.0154,8/12/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250812.0164,8/12/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250812.0186,8/12/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250812.0189,8/13/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251022.0062,10/22/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251022.0072,10/22/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250714.0141,7/15/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250805.0093,8/7/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250812.0205,8/12/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250812.0234,8/12/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250919.0023,9/19/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250919.0026,9/19/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250919.0040,9/19/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250919.0042,9/22/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250919.0062,9/19/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251021.0030,10/21/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251021.0032,10/21/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251021.0037,10/21/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250812.0258,8/12/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250812.0337,8/12/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250902.0040,9/3/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250902.0070,9/2/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250905.0169,9/5/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250905.0177,9/5/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250911.0086,9/11/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251210.0025,12/10/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251210.0043,12/10/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250919.0124,9/26/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250902.0143,9/2/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250902.0149,9/2/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250826.0507,8/26/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250826.0525,8/26/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250826.0540,8/26/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250710.0112,7/10/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250911.0175,9/11/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250813.0099,8/13/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250808.0052,8/8/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250808.0065,8/8/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250808.0128,8/13/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250808.0135,8/12/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250808.0150,8/11/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250808.0175,8/11/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250813.0131,8/13/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250902.0180,9/12/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250902.0215,9/2/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251210.0128,12/10/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251210.0129,12/10/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251210.0134,12/10/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250916.0211,9/17/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250916.0212,9/17/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251016.0452,10/17/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250919.0180,9/22/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251124.0017,12/2/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251124.0038,11/24/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251124.0054,11/24/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251014.0057,10/14/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251014.0077,10/14/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250917.0038,9/18/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250926.0041,9/26/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250926.0042,9/26/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250926.0050,9/30/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251124.0071,11/24/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251124.0106,11/24/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251124.0159,11/25/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250923.0070,9/23/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251103.0527,11/3/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251103.0541,11/3/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251211.0092,12/11/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251211.0157,12/19/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251218.0074,12/18/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251218.0082,12/19/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250902.0303,9/2/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250902.0304,9/2/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250820.0025,8/20/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250806.0057,8/6/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250806.0060,8/7/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251117.0040,11/17/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251117.0063,11/17/2025,
