Client ID,Name,autotaskVinsonProtectProjectId,Classification,Disaster Recovery Plan,IncidentResponsePlan,Phone,vinsonProtectProjectTasks
4372,Old Brook - Parma Campus,,Green Flag - No Current Issues,,,330-576-5744,
467,Open Door Christian Schools_OH_0090274,,Green Flag - No Current Issues,,,4403226386,
3488,Orchard Park Academy_OH_000000,,Green Flag - No Current Issues,,,(440) 340-3202,
4400,Orchard Park Academy - Akron Campus,,Green Flag - No Current Issues,,,330-203-1907,
469,Our Lady Of Mount Carmel West_OH_0055855,4627,Red Flag - Executive Involvement,,,(216) 281-7146,
676,Plymouth Shiloh Local_OH_049460,,Green Flag - No Current Issues,//ecc6b1f15c52c53200628b335a097b08.cdn.bubble.io/f1739810583731x658469998511739600/Plymouth%20Disaster%20Recovery.pdf,,4196874733,
2162,Ramah Christian Academy_OH_0068189,,Yellow Flag - Financial,,,2165812626,
4351,Randall Park High School,,Green Flag - No Current Issues,,,216-243-5034,
714,Regent High School_OH_012036,,Green Flag - No Current Issues,,,2165120076,
1173,Rocky River City Schools_OH_044701,,Green Flag - No Current Issues,,,4403566715,
476,Saint Barnabas_OH_0057455,,Green Flag - No Current Issues,,,3304677921,
4340,Saint John School_OH_053637,,Green Flag - No Current Issues,,,440-997-5531,
4387,Saint Andrew Saint Elizabeth Ann Seton Catholic School,,Green Flag - No Current Issues,,,5135750119,
491,Seton Catholic_OH_0126599,,Green Flag - No Current Issues,,,3303424200,
494,Southeast Local Schools_OH_0049221,,Green Flag - No Current Issues,,,3306545841,
477,Saint Brendan_OH_0056697,,Green Flag - No Current Issues,,,4407778433,
4396,Steel City High School,,Green Flag - No Current Issues,,,(440) 123-4567,
1898,Saint Francis Elementary-Cleveland_OH,,Green Flag - No Current Issues,,,2163614858,
2049,Saint Jude Elem_OH,20251216,Green Flag - No Current Issues,,,4403661681,
4337,Saint Leo the Great,,Red Flag - Executive Involvement,,,216-661-2120,
483,Saint Martin de Porres High School_OH_0000476,,Green Flag - No Current Issues,,,2168811689,
668,Saint Mary Elementary School-Chardon_OH_057224,,Green Flag - No Current Issues,,,4402857051,
4380,Saint Thomas Aquinas HS/MS,,Red Flag - Executive Involvement,,,(330) 875-1631 x305,
487,Saint Thomas Aquinas_OH_0056283,,Green Flag - No Current Issues,,,216-421-4668,
3176,SUPER Learning Center-Faith Christian_OH,,Red Flag - Executive Involvement,,,3308994119,
3318,Towpath East_OH_0000000,,Green Flag - No Current Issues,,,2342006682,
4378,Towpath Trail High School - Barberton,,Green Flag - No Current Issues,,,(330) 203-1787,
496,Towpath Trail - Main _OH_0133868,,Green Flag - No Current Issues,,,2345420102,
1146,United Local Schools_OH_046458,,Green Flag - No Current Issues,,,3302231521,
497,Urban Community School_OH_0062562,,Green Flag - No Current Issues,,,2169398330,
4394,Urban Squash Cleveland,,Green Flag - No Current Issues,,,216-912-9690,
498,Valley Christian Academy_OH_0083295,,Green Flag - No Current Issues,,,3305628191,
2275,Valley Christian Schools,,Green Flag - No Current Issues,,,330-788-8088,
499,Villa Angela-Saint Joseph_OH_0053660,,Yellow Flag - Services Issue,,,(216) 481-8414,
3158,Western Reserve Local Schools_OH_0047746,,Red Flag - Executive Involvement,,,4196608508,
681,Westside Christian Academy_OH_A9702697,,Green Flag - No Current Issues,,,4403311300,
1188,Wickliffe City Schools_OH_045088,,Red Flag - Executive Involvement,,,(440) 943-7739,
501,Windham Exempted Village Schools_OH_0045666,,Red Flag - Executive Involvement,,,3303262711,
3170,Youngstown City Schools_OH_045161,,Green Flag - No Current Issues,,,3307446915,
2669,YouthBuild Columbus Community School,,Green Flag - No Current Issues,,,"614 2910805	",
