"Client ID [updates only]","[required] Name","[required] Phone","Client UDF:29683098 NPS Rating Score","Client UDF:29683097 NPS Rating","Client UDF:29683100 NPS Annual Survey","Client UDF:29683101 NPS Reference?","Client UDF:29683102 NPS Number of Services","Client UDF:29683103 NPS Total Sales","Client UDF:29683104 NPS Average Survey Score","Client UDF:29683105 NPS Number of Surveys - 180 Days","Client UDF:29683106 NPS Overdue Meetings","Client UDF:29683108 NPS Customer Success","Classification","Client UDF:29683109 NPS SO Survey","Client UDF:29683110 NPS SO Survey Score"
4370,"Hamilton Clermont Cooperative","513-931-7120",-100,"Detractor","No","Unknown",0,0,0,0,0,"Unknown","Red Flag - Executive Involvement","No",0
2236,"Heritage Christian School_OH","330 4528271",75,"Promoter","Yes","Yes",5,193054.8,5,28,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",2
4393,"Highway Tabernacle Primary School","3307923000",-90,"Detractor","No","Unknown",1,7200,0,0,0,"Unknown","Red Flag - Executive Involvement","No",0
2406,"Holy Family-Parma","4408427785",20,"Passive","No","Unknown",2,35423.06,5,4,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
1247,"Howland Local Schools_OH_050161","3308568200",30,"Passive","No","Unknown",3,146025,0,0,0,"Yellow Flag - Services Issue","Yellow Flag - Services Issue","No",0
1252,"Indian Valley Local Schools_OH_050286","7402544334",80,"Promoter","Yes","Yes",3,433628.73,4.86,57,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
3048,"Keystone Local_OH_048165","4403555131",40,"Passive","No","Unknown",4,207531.36,4.94,53,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
3489,"Liberty High School_OH_016849","9377017945",30,"Passive","No","Unknown",3,84447.24,5,1,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
1198,"Lowellville Local Schools_OH_048330","3305366318",80,"Promoter","Yes","Yes",3,18885.56,0,0,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
449,"Marietta City Schools_OH_0044321","7403746500",40,"Passive","No","Unknown",4,693368.96,5,61,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
4386,"Marshall High School - Hamilton Campus","(513) 318-7078",30,"Passive","No","Unknown",3,205271,0,0,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
450,"Marshall High School_OH_0132803","5133187078",55,"Passive","No","Unknown",3,93860.41,5,8,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",4
2287,"Mayfair Christian School","330 8963184",30,"Passive","No","Unknown",3,52936.79,5,1,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
682,"Medina Christian Academy_OH_089979","(330) 725-3227",85,"Promoter","No","Unknown",6,190326.08,5,17,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",4
4349,"Metro Catholic School","216-281-4044",80,"Promoter","Yes","Yes",3,255630.17,5,26,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
452,"Midview Local Schools_OH_0048173","4409263737",110,"Promoter","Yes","Yes",6,829983.01,4.99,81,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
4411,"Muskegon Lakeshore High School","231-720-3100",-60,"Detractor","No","Unknown",4,14277.04,4.88,4,0,"Unknown","Red Flag - Executive Involvement","No",0
460,"New London Local Schools_OH_0047720","4199298433",100,"Promoter","Yes","Yes",5,380169.15,4.97,67,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
4391,"New London Public Library","419-929-3981",50,"Passive","No","Unknown",5,11971.59,5,3,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
461,"New Philadelphia City Schools_OH_0044487","3303640600",80,"Promoter","Yes","Yes",3,753542.23,5,77,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",3
422,"Oakmont Education Group","330-476-4114",80,"Promoter","Yes","Yes",3,318794.77,5,23,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
4372,"Old Brook - Parma Campus","330-576-5744",65,"Passive","No","Unknown",4,157516.13,0,0,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",4
713,"Old Brook High School_OH_012038","4403193370",55,"Passive","No","Unknown",3,53044.68,0,0,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",4
4392,"Old North Primary School","(330) 533-6848",-90,"Detractor","No","Unknown",1,7200,0,0,0,"Unknown","Red Flag - Executive Involvement","No",0
467,"Open Door Christian Schools_OH_0090274","4403226386",50,"Passive","No","Unknown",5,272036.39,4.99,61,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
4400,"Orchard Park Academy - Akron Campus","330-203-1907?",20,"Passive","No","Unknown",2,42777.8,0,0,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
3488,"Orchard Park Academy_OH_000000","440-340-3202",-70,"Detractor","Yes","No",3,96331.57,5,2,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
469,"Our Lady Of Mount Carmel West_OH_0055855","(216) 281-7146",-10,"Detractor","Yes","Yes",4,85449.37,5,5,0,"Red Flag - Executive Involvement","Red Flag - Executive Involvement","Yes",3
2284,"Our Lady Of The Elms High_OH","(330) 836-9384",-90,"Detractor","No","Unknown",1,1260,0,0,0,"Unknown","Red Flag - Executive Involvement","No",0
4402,"Partnership Schools","000-000-0000",-100,"Detractor","No","Unknown",0,0,5,2,0,"Unknown","Red Flag - Executive Involvement","No",0
863,"Pellegrino Music_OH","330-498-8400",-80,"Detractor","No","Unknown",2,1338,5,1,0,"Unknown","Red Flag - Executive Involvement","No",0
823,"Pleasant Local_OH_048421"," (740) 389-4476",-90,"Detractor","No","Unknown",1,5675,0,0,0,"Unknown","Red Flag - Executive Involvement","No",0
676,"Plymouth Shiloh Local_OH_049460","4196874733",-35,"Detractor","Yes","No",4,323293.3,4.98,57,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",4
2162,"Ramah Christian Academy_OH_0068189","2165812626",30,"Passive","No","Unknown",3,54431.09,5,1,0,"Yellow Flag - Financial","Yellow Flag - Financial","No",0
4351,"Randall Park High School","216-243-5034",40,"Passive","No","Unknown",4,90400.85,5,1,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
714,"Regent High School_OH_012036","2165120076",30,"Passive","No","Unknown",3,79938.9,5,7,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
4406,"Ridgewood Local Schools","740.545.6454",-90,"Detractor","No","Unknown",1,13870,0,0,0,"Unknown","Red Flag - Executive Involvement","No",0
1173,"Rocky River City Schools_OH_044701","4403566715",10,"Passive","No","Unknown",1,1000,0,0,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
4387,"Saint Andrew Saint Elizabeth Ann Seton Catholic School","5135750119",70,"Promoter","Yes","Yes",2,6066,5,18,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
476,"Saint Barnabas_OH_0057455","3304677921",90,"Promoter","Yes","Yes",4,132046.11,5,3,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
2080,"Saint Bernadette School","5137534744",-80,"Detractor","No","Unknown",2,15848.51,4.88,4,0,"Unknown","Red Flag - Executive Involvement","No",0
477,"Saint Brendan_OH_0056697","4407778433",80,"Promoter","Yes","Yes",3,72771.13,5,9,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",3
1898,"Saint Francis Elementary-Cleveland_OH","2163614858",30,"Passive","No","Unknown",3,98606.9,4.95,19,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
4340,"Saint John School_OH_053637","440-997-5531",135,"Promoter","Yes","Yes",6,123483.67,4.91,23,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",4
2049,"Saint Jude Elem_OH","4403661681",100,"Promoter","Yes","Yes",5,177350.37,4.93,15,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",3
4337,"Saint Leo the Great","216-661-2120",-10,"Detractor","Yes","Yes",4,392856.74,5,1,0,"Red Flag - Executive Involvement","Red Flag - Executive Involvement","No",0
483,"Saint Martin de Porres High School_OH_0000476","2168811689",100,"Promoter","Yes","Yes",5,334498.71,5,15,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",3
668,"Saint Mary Elementary School-Chardon_OH_057224","4402857051",125,"Promoter","Yes","Yes",5,141859.41,5,5,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",4
486,"Saint Stanislaus_OH_0056267","216-883-3307",-80,"Detractor","No","Unknown",2,76564.07,5,1,0,"Unknown","Red Flag - Executive Involvement","No",0
487,"Saint Thomas Aquinas_OH_0056283","216-421-4668",30,"Passive","No","Unknown",3,149058.8,0,0,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
491,"Seton Catholic_OH_0126599","3303424200",85,"Promoter","No","Unknown",6,158259.15,5,20,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",4
494,"Southeast Local Schools_OH_0049221","3306545841",80,"Promoter","Yes","Yes",3,363388.26,4.94,139,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
2393,"St Francis Of Assisi Elem","(440) 442-7450",-90,"Detractor","No","Unknown",1,47295,0,0,0,"Unknown","Red Flag - Executive Involvement","No",0
4396,"Steel City High School","(440) 123-4567",55,"Passive","No","Unknown",3,139057.26,5,5,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",4
3176,"SUPER Learning Center-Faith Christian_OH","3308994119",-80,"Detractor","No","Unknown",2,113488.36,5,6,1,"Red Flag - Executive Involvement","Red Flag - Executive Involvement","No",0
3318,"Towpath East_OH_0000000","2342006682",55,"Passive","No","Unknown",3,25036.23,0,0,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",4
496,"Towpath Trail - Main _OH_0133868","2345420102",65,"Passive","No","Unknown",4,336409.15,5,1,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",4
4378,"Towpath Trail High School - Barberton","(330) 203-1787",55,"Passive","No","Unknown",3,30775.53,0,0,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",4
1146,"United Local Schools_OH_046458","3302231521",10,"Passive","No","Unknown",1,541.7,0,0,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
497,"Urban Community School_OH_0062562","2169398330",100,"Promoter","Yes","Yes",5,265062.15,5,69,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
4394,"Urban Squash Cleveland","216-912-9690",20,"Passive","No","Unknown",2,3053.5,0,0,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
2275,"Valley Christian Schools","330-788-8088",100,"Promoter","Yes","Yes",5,362602.66,4.99,38,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
499,"Villa Angela-Saint Joseph_OH_0053660","(216) 481-8414",40,"Passive","No","Unknown",4,323918.62,5,83,0,"Yellow Flag - Services Issue","Yellow Flag - Services Issue","Yes",3
0,"Vinson Group LLC","888-364-4512",-100,"Detractor","No","Unknown",0,0,5,1,5,"Unknown","Red Flag - Executive Involvement","No",0
681,"Westside Christian Academy_OH_A9702697","4403311300",125,"Promoter","Yes","Yes",5,157967.79,5,16,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",4
1188,"Wickliffe City Schools_OH_045088","(440) 943-7739",-35,"Detractor","No","Unknown",4,620792.8,4.95,39,0,"Red Flag - Executive Involvement","Red Flag - Executive Involvement","Yes",4
3170,"Youngstown City Schools_OH_045161","3307446915",10,"Passive","No","Unknown",1,18000,0,0,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
2669,"YouthBuild Columbus Community School","614 2910805",30,"Passive","No","Unknown",3,32698.39,0,0,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
